",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"1702,""CS-"",""R2"",4,""41"",664,632,""04mr"""
"1722,""CS-"",""R1"",5,""42"",428,671,""04mr"""
"1732,""CS-"",""R1"",4,""43"",687,620,""04mr"""
"1752,""CS-"",""R2"",4,""44"",628,672,""04mr"""
"1851,""CS-"",""R2"",4,""45"",664,624,""04mr"""
"1901,""CS-"",""R1"",4,""46"",601,856,""04mr"""
"1911,""CS-"",""R1"",4,""47"",634,610,""04mr"""
"1931,""CS-"",""R1"",4,""48"",838,618,""04mr"""
"1991,""CS-"",""R1"",4,""49"",660,841,""04mr"""
"2001,""CS-"",""R1"",4,""50"",666,643,""04mr"""
"613,""CS1"",""R2"",4,""1"",583,615,""04mr"""
"1112,""CS1"",""R2"",4,""2"",301,632,""04mr"""
"1212,""CS1"",""R1"",4,""3"",778,764.5,""04mr"""
"1312,""CS1"",""R1"",4,""4"",615,880,""04mr"""
"1412,""CS1"",""R1"",4,""5"",653,619,""04mr"""
"1912,""CS1"",""R1"",4,""6"",612,622,""04mr"""
"202,""CS1"",""R1"",4,""7"",575,600,""04mr"""
"232,""CS1"",""R2"",4,""8"",815,579,""04mr"""
"272,""CS1"",""R2"",4,""9"",504,587,""04mr"""
"292,""CS1"",""R1"",4,""10"",754,609,""04mr"""
"432,""CS1"",""R2"",4,""11"",794,629,""04mr"""
"462,""CS1"",""R1"",3,""12"",1113,623,""04mr"""
"482,""CS1"",""R1"",4,""13"",980,672,""04mr"""
"522,""CS1"",""R1"",4,""14"",667,619,""04mr"""
"542,""CS1"",""R1"",4,""15"",725,624,""04mr"""
"632,""CS1"",""R2"",4,""16"",826,650.5,""04mr"""
"652,""CS1"",""R1"",4,""17"",763,627,""04mr"""
"702,""CS1"",""R1"",4,""18"",669,640,""04mr"""
"742,""CS1"",""R2"",4,""19"",652,664,""04mr"""
"792,""CS1"",""R2"",4,""20"",713,936,""04mr"""
"812,""CS1"",""R2"",4,""21"",635,631,""04mr"""
"822,""CS1"",""R2"",4,""22"",593,643,""04mr"""
"922,""CS1"",""R2"",4,""23"",739,768,""04mr"""
"932,""CS1"",""R2"",4,""24"",681,642,""04mr"""
"952,""CS1"",""R1"",4,""25"",640,613,""04mr"""
"1122,""CS1"",""R1"",4,""26"",705,820,""04mr"""
"1142,""CS1"",""R1"",4,""27"",987,608,""04mr"""
"1152,""CS1"",""R2"",4,""28"",588,634,""04mr"""
"1162,""CS1"",""R2"",4,""29"",613,677,""04mr"""
"1182,""CS1"",""R2"",4,""30"",783,1010,""04mr"""
"1252,""CS1"",""R2"",4,""31"",600,620,""04mr"""
"1302,""CS1"",""R2"",4,""32"",697,606,""04mr"""
"1322,""CS1"",""R2"",4,""33"",613,618,""04mr"""
"1332,""CS1"",""R2"",4,""34"",620,648,""04mr"""
"1352,""CS1"",""R2"",4,""35"",679,684,""04mr"""
"1382,""CS1"",""R1"",4,""36"",643,736,""04mr"""
"1413,""CS1"",""R1"",4,""37"",750,648,""04mr"""
"1422,""CS1"",""R1"",4,""38"",690,618.5,""04mr"""
"1522,""CS1"",""R1"",4,""39"",649,648,""04mr"""
"1562,""CS1"",""R1"",3,""40"",1479,767,""04mr"""
"1662,""CS1"",""R2"",4,""41"",1004,628,""04mr"""
"1672,""CS1"",""R1"",4,""42"",670,612,""04mr"""
"1692,""CS1"",""R1"",4,""43"",608,614,""04mr"""
"1802,""CS1"",""R2"",4,""44"",646,613,""04mr"""
"1861,""CS1"",""R2"",4,""45"",600,680,""04mr"""
"1881,""CS1"",""R2"",4,""46"",620,622,""04mr"""
"1891,""CS1"",""R2"",4,""47"",707,660,""04mr"""
"1941,""CS1"",""R1"",4,""48"",708,636,""04mr"""
"1951,""CS1"",""R1"",4,""49"",607,618,""04mr"""
"1981,""CS1"",""R2"",4,""50"",575,720,""04mr"""
"412,""CS2"",""R2"",3,""1"",1429,609,""04mr"""
"1612,""CS2"",""R1"",4,""2"",708,608,""04mr"""
"1712,""CS2"",""R1"",4,""3"",657,698,""04mr"""
"213,""CS2"",""R2"",4,""4"",784,645,""04mr"""
"222,""CS2"",""R2"",4,""5"",711,622,""04mr"""
"252,""CS2"",""R2"",4,""6"",638,602,""04mr"""
"302,""CS2"",""R1"",4,""7"",600,630,""04mr"""
"342,""CS2"",""R1"",4,""8"",683,656,""04mr"""
"362,""CS2"",""R2"",4,""9"",643,601,""04mr"""
"402,""CS2"",""R2"",3,""10"",662,618,""04mr"""
"442,""CS2"",""R2"",4,""11"",798,627,""04mr"""
"532,""CS2"",""R1"",4,""12"",746,632,""04mr"""
"562,""CS2"",""R2"",4,""13"",669,595,""04mr"""
"592,""CS2"",""R2"",4,""14"",616,664,""04mr"""
"602,""CS2"",""R2"",4,""15"",712,632,""04mr"""
"622,""CS2"",""R2"",4,""16"",660,610,""04mr"""
"662,""CS2"",""R1"",4,""17"",627,618,""04mr"""
"672,""CS2"",""R1"",4,""18"",588,663,""04mr"""
"762,""CS2"",""R2"",4,""19"",724,621,""04mr"""
"772,""CS2"",""R2"",3,""20"",1722,620,""04mr"""
"842,""CS2"",""R1"",4,""21"",620,605,""04mr"""
"852,""CS2"",""R1"",4,""22"",612,744,""04mr"""
"892,""CS2"",""R2"",4,""23"",642,760,""04mr"""
"992,""CS2"",""R1"",4,""24"",621,636,""04mr"""
"1032,""CS2"",""R1"",4,""25"",833,616,""04mr"""
"1092,""CS2"",""R1"",3,""26"",1233,648,""04mr"""
"1113,""CS2"",""R1"",4,""27"",838,633,""04mr"""
"1172,""CS2"",""R2"",4,""28"",597,620,""04mr"""
"1192,""CS2"",""R2"",4,""29"",705,620,""04mr"""
"1202,""CS2"",""R2"",4,""30"",670,646,""04mr"""
"1222,""CS2"",""R1"",4,""31"",633,631,""04mr"""
"1232,""CS2"",""R1"",4,""32"",789,601,""04mr"""
"1262,""CS2"",""R2"",4,""33"",796,595,""04mr"""
"1292,""CS2"",""R1"",4,""34"",1015,607,""04mr"""
"1313,""CS2"",""R2"",4,""35"",625,610,""04mr"""
"1472,""CS2"",""R1"",4,""36"",658,676,""04mr"""
"1492,""CS2"",""R2"",4,""37"",716,619,""04mr"""
"1532,""CS2"",""R1"",4,""38"",656,648,""04mr"""
"1542,""CS2"",""R1"",4,""39"",621,632,""04mr"""
"1592,""CS2"",""R1"",4,""40"",608,617,""04mr"""
"1622,""CS2"",""R2"",4,""41"",625,626,""04mr"""
"1642,""CS2"",""R2"",4,""42"",912,616,""04mr"""
"1682,""CS2"",""R1"",4,""43"",642,856,""04mr"""
"1713,""CS2"",""R1"",4,""44"",797,623,""04mr"""
"1742,""CS2"",""R1"",4,""45"",745,648,""04mr"""
"1782,""CS2"",""R2"",4,""46"",608,648,""04mr"""
"1792,""CS2"",""R2"",4,""47"",624,812,""04mr"""
"1813,""CS2"",""R1"",4,""48"",613,633,""04mr"""
"1871,""CS2"",""R2"",4,""49"",626,615,""04mr"""
"1921,""CS2"",""R1"",4,""50"",619,648,""04mr"""
"1102,""CS3"",""R2"",3,""1"",842,810.5,""04mr"""
"312,""CS3"",""R2"",4,""2"",744,638,""04mr"""
"813,""CS3"",""R2"",3,""3"",841,628,""04mr"""
"913,""CS3"",""R2"",4,""4"",657,621,""04mr"""
"262,""CS3"",""R2"",4,""5"",599,622,""04mr"""
"282,""CS3"",""R2"",4,""6"",648,605,""04mr"""
"313,""CS3"",""R1"",4,""7"",619,730,""04mr"""
"352,""CS3"",""R2"",4,""8"",638,592,""04mr"""
"372,""CS3"",""R2"",4,""9"",679,610,""04mr"""
"382,""CS3"",""R2"",4,""10"",692,604,""04mr"""
"413,""CS3"",""R2"",4,""11"",600,607,""04mr"""
"472,""CS3"",""R1"",4,""12"",613,664,""04mr"""
"492,""CS3"",""R1"",4,""13"",630,632,""04mr"""
"513,""CS3"",""R1"",4,""14"",877,591,""04mr"""
"552,""CS3"",""R1"",4,""15"",692,620,""04mr"""
"572,""CS3"",""R2"",4,""16"",757,716,""04mr"""
"582,""CS3"",""R2"",3,""17"",1157,604,""04mr"""
"682,""CS3"",""R1"",4,""18"",672,612,""04mr"""
"713,""CS3"",""R1"",4,""19"",1074,624,""04mr"""
"752,""CS3"",""R2"",4,""20"",690,616,""04mr"""
"832,""CS3"",""R1"",4,""21"",791,616,""04mr"""
"872,""CS3"",""R1"",4,""22"",946,648,""04mr"""
"882,""CS3"",""R1"",4,""23"",965,672,""04mr"""
"902,""CS3"",""R2"",4,""24"",665,638,""04mr"""
"942,""CS3"",""R1"",4,""25"",644,625,""04mr"""
"972,""CS3"",""R1"",3,""26"",1105,609,""04mr"""
"1002,""CS3"",""R1"",4,""27"",638,590,""04mr"""
"1022,""CS3"",""R1"",4,""28"",664,611,""04mr"""
"1103,""CS3"",""R1"",4,""29"",640,605,""04mr"""
"1132,""CS3"",""R2"",4,""30"",669,612,""04mr"""
"1213,""CS3"",""R1"",4,""31"",796,631,""04mr"""
"1242,""CS3"",""R1"",4,""32"",626,688,""04mr"""
"1342,""CS3"",""R2"",4,""33"",993,628,""04mr"""
"1362,""CS3"",""R2"",4,""34"",742,908,""04mr"""
"1402,""CS3"",""R1"",4,""35"",607,621,""04mr"""
"1432,""CS3"",""R1"",4,""36"",632,628,""04mr"""
"1482,""CS3"",""R2"",3,""37"",1252,625,""04mr"""
"1513,""CS3"",""R2"",4,""38"",658,635,""04mr"""
"1552,""CS3"",""R1"",3,""39"",1087,628,""04mr"""
"1582,""CS3"",""R1"",4,""40"",637,624,""04mr"""
"1613,""CS3"",""R2"",4,""41"",672,640,""04mr"""
"1632,""CS3"",""R2"",4,""42"",644,624,""04mr"""
"1652,""CS3"",""R2"",4,""43"",636,597,""04mr"""
"1762,""CS3"",""R1"",3,""44"",1169,619,""04mr"""
"1772,""CS3"",""R2"",4,""45"",574,614,""04mr"""
"1822,""CS3"",""R1"",4,""46"",667,635,""04mr"""
"1831,""CS3"",""R1"",4,""47"",658,640,""04mr"""
"1841,""CS3"",""R1"",4,""48"",596,641,""04mr"""
"1961,""CS3"",""R2"",4,""49"",667,683,""04mr"""
"1971,""CS3"",""R2"",4,""50"",673,622,""04mr"""
"214,""CS-"",""R1"",3,""1"",1343,619,""05mo"""
"514,""CS-"",""R1"",4,""2"",696,601,""05mo"""
"1414,""CS-"",""R1"",4,""3"",844,611,""05mo"""
"1814,""CS-"",""R1"",3,""4"",577,613,""05mo"""
"203,""CS-"",""R1"",4,""5"",576,645,""05mo"""
"223,""CS-"",""R1"",4,""6"",787,620,""05mo"""
"283,""CS-"",""R1"",4,""7"",593,611,""05mo"""
"303,""CS-"",""R1"",4,""8"",595,628,""05mo"""
"323,""CS-"",""R2"",4,""9"",577,622,""05mo"""
"353,""CS-"",""R1"",4,""10"",889,627,""05mo"""
"463,""CS-"",""R2"",4,""11"",627,642,""05mo"""
"493,""CS-"",""R1"",4,""12"",618,631,""05mo"""
"553,""CS-"",""R2"",4,""13"",641,614,""05mo"""
"633,""CS-"",""R1"",3,""14"",601,610,""05mo"""
"663,""CS-"",""R2"",4,""15"",607,619,""05mo"""
"723,""CS-"",""R2"",4,""16"",570,605,""05mo"""
"743,""CS-"",""R2"",4,""17"",667,606,""05mo"""
"753,""CS-"",""R1"",4,""18"",728,645,""05mo"""
"793,""CS-"",""R1"",4,""19"",646,667,""05mo"""
"803,""CS-"",""R2"",4,""20"",595,611,""05mo"""
"814,""CS-"",""R1"",4,""21"",601,615,""05mo"""
"923,""CS-"",""R1"",4,""22"",649,617.5,""05mo"""
"953,""CS-"",""R1"",4,""23"",647,848,""05mo"""
"983,""CS-"",""R1"",4,""24"",314,614,""05mo"""
"1063,""CS-"",""R1"",4,""25"",600,634,""05mo"""
"1093,""CS-"",""R2"",4,""26"",656,622,""05mo"""
